name,ring,quadrant,isNew,description
Jupyter,Adopt,Tools,TRUE,"<strong>AI/ML Technologies</strong><p>Project Jupyter is a nonprofit organization created to ""develop open-source software, open-standards, and services for interactive computing across dozens of programming languages""</p>"
Acunetix,Adopt,Tools,TRUE,<strong> Security scanners</strong><p>Acunetix is an end-to-end web security scanner that offers a 360 view of an organization's security. </p>
Angular (6-11),Adopt,Languages and Frameworks,TRUE,<strong>Web UI Frameworks</strong><p>Angular is a platform for building mobile and desktop web applications. </p>
Ansible,Adopt,Techniques,TRUE,"<strong>Deployment automation</strong><p>Ansible is an open-source software provisioning, configuration management, and application-deployment tool. It runs on many Unix-like systems, and can configure both Unix-like systems as well as Microsoft Windows.</p>"
AnyDesk,Adopt,Tools,TRUE,<strong>Communication</strong><p>AnyDesk is a proprietary remote desktop tool distributed by AnyDesk Software GmbH</p>
Apache Kafka,Adopt,Languages and Frameworks,TRUE,"<strong>Message Queues</strong><p>Apache Kafka is an open-source stream-processing software platform developed by LinkedIn and donated to the Apache Software Foundation, written in Scala and Java. The project aims to provide a unified, high-throughput, low-latency platform for handling real-time data feeds.</p>"
Apache tomcat,Adopt,Platform,TRUE,"<strong>Web Application Server<strong><p>Apache Tomcat is an open-source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and WebSocket technologies. Tomcat provides a ""pure Java"" HTTP web server environment in which Java code can run</p>"
Apache ZooKeeper,Adopt,Techniques,TRUE,"<strong>Cluster software </strong><p>Apache ZooKeeper is a software project of the Apache Software Foundation. It is essentially a service for distributed systems offering a hierarchical key-value store, which is used to provide a distributed configuration service, synchronization service, and naming registry for large distributed systems.</p>"
App security ,Adopt,Techniques,TRUE,"<strong>DevSecOps</strong><p>Application security encompasses measures taken to improve the security of an application often by finding, fixing and preventing security vulnerabilities</p>  "
AWS,Adopt,Platform,TRUE,"<strong>Cloud</strong><p>Amazon Web Services is a subsidiary of Amazon that provides on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered pay-as-you-go basis.</p>"
Bootstrap,Adopt,Languages and Frameworks,TRUE,"<strong>Web UI Frameworks</strong><p>Bootstrap is a free and open-source CSS framework directed at responsive, mobile-first front-end web development. It contains CSS- and JavaScript-based design templates for typography, forms, buttons, navigation and other interface components.</p>"
Build automation   ,Adopt,Techniques,TRUE,"<strong>Automation</strong><p>Build automation is the process of automating the creation of a software build and the associated processes including: compiling computer source code into binary code, packaging binary code, and running automated tests</p>  "
BURP,Adopt,Tools,TRUE,<strong>Secutiry scanners</strong><p>Burp or Burp Suite is a graphical tool for testing Web application security. The tool is written in Java and developed by PortSwigger Web Security.</p>
Business Value/Complexity Matrix   ,Adopt,Techniques,TRUE,"<strong>Prioritization</strong><p>As its name implies, value-complexity matrices plot the potential value of a product feature alongside the complexity of implementing such features. Put another way, this kind of matrix categorizes product features by their expected business value and their implementation complexity.</p>"
C++,Adopt,Languages and Frameworks,TRUE,"<strong>Programming Languages</strong><p>C++ is a general-purpose programming language created by Bjarne Stroustrup as an extension of the C programming language, or ""C with Classes""</p>"
c3p0,Adopt,Languages and Frameworks,TRUE,"<strong>Other libraries</strong><p>C-3PO is a droid programmed for etiquette and protocol, built by the heroic Jedi Anakin Skywalker, and a constant companion to astromech R2-D2. Over the years, he was involved in some of the galaxy's most defining moments and thrilling battles -- and is fluent in more than seven million forms of communication.</p>"
CCXML,Adopt,Languages and Frameworks,TRUE,"<strong>Call control languages</strong><p>Call Control eXtensible Markup Language is an XML standard designed to provide asynchronous event-based telephony support to VoiceXML. Its current status is a W3C Proposed Recommendation, adopted May 10, 2011. </p>"
Confluence,Adopt,Platform,TRUE,<strong>Collaboration</strong><p>Confluence is a collaboration software program developed and published by Australian software company Atlassian. Atlassian wrote Confluence in the Java programming language and first published it in 2004</p>
Continuous deploy,Adopt,Techniques,TRUE,<strong>DevOps     </strong><p>Continuous Deployment (CD) is a software release process that uses automated testing to validate if changes to a codebase are correct and stable for immediate autonomous deployment to a production environment.</p>
Continuous test,Adopt,Techniques,TRUE,<strong>DevOps     </strong><p>Continuous testing was originally proposed as a way of reducing waiting time for feedback to developers by introducing development environment-triggered tests as well as more traditional developer/tester-triggered tests.</p>
Crucible,Adopt,Tools,TRUE,"<strong>Code review</strong><p>Crucible is a collaborative code review application by Australian software company Atlassian. Like other Atlassian products, Crucible is a Web-based application primarily aimed at enterprise, and certain features that enable peer review of a codebase may be considered enterprise social software. </p>"
DB security,Adopt,Techniques,TRUE,"<strong>DevSecOps  </strong><p>Database security concerns the use of a broad range of information security controls to protect databases against compromises of their confidentiality, integrity and availability. It involves various types or categories of controls, such as technical, procedural/administrative and physical. </p>"
dexguard,Adopt,Techniques,TRUE,<strong>Obfuscators  </strong><p>DexGuard protects your Android applications with code hardening (obfuscation and encryption) and runtime application self-protection.</p>
